order_item_id,order_id,product_id,user_id,quantity,item_price,item_total,order_date,order_status,total_amount,product_name,category,brand,price,rating,name,email,gender,city,signup_date,item_revenue
I00028808,O00013250,P001045,U004048,1.0,41.15,41.15,2024-01-08 17:36:36.671178,Returned,139.75,Pulse Front,Toys,Pulse,41.15,2.71,Sarah Patterson,tanner72@example.com,Other,Lake Ethanmouth,2025-09-19,41.15
I00028809,O00013251,P000425,U005417,1.0,126.93,126.93,2025-05-10 15:19:34.587735,Processing,759.01,GreenLeaf Land,Home & Kitchen,GreenLeaf,126.93,2.85,Alicia Logan,olarsen@example.org,Male,Port Rebeccaton,2025-03-19,126.93
I00028810,O00013251,P001975,U005417,2.0,278.14,556.28,2025-05-10 15:19:34.587735,Processing,759.01,Orion Mouth,Sports,Orion,278.14,4.22,Alicia Logan,olarsen@example.org,Male,Port Rebeccaton,2025-03-19,556.28
I00028811,O00013251,P001482,U005417,2.0,37.9,75.8,2025-05-10 15:19:34.587735,Processing,759.01,Harbor Per,Pet Supplies,Harbor,37.9,4.85,Alicia Logan,olarsen@example.org,Male,Port Rebeccaton,2025-03-19,75.8
I00028813,O00013252,P000776,U001658,1.0,41.51,41.51,2025-07-05 14:51:24.027379,Shipped,73.64,Pulse Study,Clothing,Pulse,41.51,3.81,Lauren Young,hlester@example.org,Female,Estesside,2025-10-07,41.51
I00028814,O00013253,P001887,U000767,2.0,10.47,20.94,2025-03-10 17:12:06.461612,Completed,20.94,Astra Work,Books,Astra,10.47,2.84,Charles Johnson,thomasscott@example.net,Female,Bradleytown,2024-09-05,20.94
I00028815,O00013254,P000489,U002388,1.0,5.11,5.11,2025-08-28 09:04:44.878658,Completed,5.11,NeoTech Conference,Groceries,NeoTech,5.11,2.51,Brian Bates,moorejohn@example.net,Male,South Timothyside,2024-11-22,5.11
I00028797,O00013245,P000858,U007391,2.0,185.03,370.06,2025-08-26 21:26:34.877799,Completed,,Harbor City,Clothing,Harbor,185.03,3.02,Linda Gonzalez,gary18@example.com,Male,,2024-10-25,370.06
I00028795,O00013243,P001842,U003797,2.0,29.1,58.2,,Cancelled,58.2,Orion Kitchen,Books,Orion,29.1,4.12,Alexander Mitchell,kimnoah@example.net,Other,Justinmouth,2024-08-09,58.2
I00028817,O00013256,P001842,U005106,2.0,29.1,58.2,2024-10-16 22:53:17.938541,Processing,233.2,Orion Kitchen,Books,Orion,29.1,4.12,Angela Lopez,shellylewis@example.net,Male,Lake Kennethhaven,2025-11-08,58.2
I00028794,O00013242,P001506,U004056,1.0,186.05,186.05,2024-02-25 00:28:45.122962,Cancelled,618.08,Nimbus Support,Home & Kitchen,Nimbus,186.05,3.07,Jason Hansen,williamsonrobin@example.com,Other,Jonathanhaven,2024-02-12,186.05
I00028776,O00013235,P000540,U007516,1.0,337.8,337.8,2025-09-14 05:33:34.452213,Shipped,668.73,Zenith Foreign,Automotive,Zenith,337.8,3.08,Heather Ramirez,rjohnson@example.org,Male,Camposfort,2025-02-23,337.8
I00028777,O00013235,P000831,U007516,1.0,24.43,24.43,2025-09-14 05:33:34.452213,Shipped,668.73,,Pet Supplies,Zenith,24.43,3.21,Heather Ramirez,rjohnson@example.org,Male,Camposfort,2025-02-23,24.43
I00028778,O00013236,P001844,U008152,1.0,70.23,70.23,2024-03-02 09:45:16.858141,Completed,2731.04,Nimbus Size,Books,Nimbus,70.23,2.99,John Douglas,bsampson@example.com,Other,Burtonville,2025-02-06,70.23
I00028779,O00013236,P001326,U008152,1.0,61.39,61.39,2024-03-02 09:45:16.858141,Completed,2731.04,GreenLeaf Interview,Clothing,GreenLeaf,61.39,4.0,John Douglas,bsampson@example.com,Other,Burtonville,2025-02-06,61.39
I00028780,O00013236,P000012,U008152,2.0,1299.71,2599.42,2024-03-02 09:45:16.858141,Completed,2731.04,GreenLeaf Road,Electronics,GreenLeaf,1299.71,3.61,John Douglas,bsampson@example.com,Other,Burtonville,2025-02-06,2599.42
I00028781,O00013237,P000444,U001829,1.0,28.92,28.92,2024-11-25 10:07:53.939028,Returned,43.01,Everest Opportunity,Groceries,Everest,28.92,2.63,Charles Camacho,hernandezcharles@example.org,Other,Port Jennifer,2025-03-31,28.92
I00028783,O00013238,P001815,U008494,1.0,241.73,241.73,2024-07-03 08:10:55.509752,Completed,404.92,Harbor Despite,Home & Kitchen,Harbor,241.73,2.66,David Bryant,kevin51@example.net,Female,Ayalaton,2024-01-20,241.73
I00028784,O00013238,P000265,U008494,1.0,163.19,163.19,2024-07-03 08:10:55.509752,Completed,404.92,GreenLeaf Move,Home & Kitchen,GreenLeaf,163.19,4.52,David Bryant,kevin51@example.net,Female,Ayalaton,2024-01-20,163.19
I00028785,O00013239,P000088,U003830,2.0,78.11,156.22,2025-06-19 18:42:43.852127,Processing,297.74,Everest As,Clothing,Everest,78.11,4.29,Joanne Williams,fclark@example.org,Male,South Taraside,2024-09-14,156.22
I00028786,O00013239,P001792,U003830,2.0,70.76,141.52,2025-06-19 18:42:43.852127,Processing,297.74,Harbor Notice,Pet Supplies,Harbor,70.76,3.75,Joanne Williams,fclark@example.org,Male,South Taraside,2024-09-14,141.52
I00028787,O00013240,P000909,U001200,1.0,72.71,72.71,2025-06-28 10:39:46.577403,Processing,72.71,Orion Head,Pet Supplies,Orion,72.71,3.86,Katie Jordan,steven25@example.org,Female,Lake Barbara,2025-05-29,72.71
I00028788,O00013241,P001345,U000542,1.0,114.32,114.32,2024-12-09 17:21:34.507722,Shipped,620.06,Nimbus List,Pet Supplies,Nimbus,114.32,4.22,Jamie Rich,ashley46@example.net,Other,Veronicashire,2024-11-01,114.32
I00028789,O00013241,P000700,U000542,1.0,186.13,186.13,2024-12-09 17:21:34.507722,Shipped,620.06,,Clothing,GreenLeaf,186.13,2.87,Jamie Rich,ashley46@example.net,Other,Veronicashire,2024-11-01,186.13
I00028790,O00013241,P000242,U000542,2.0,51.96,103.92,2024-12-09 17:21:34.507722,Shipped,620.06,Astra Number,Pet Supplies,Astra,51.96,2.9,Jamie Rich,ashley46@example.net,Other,Veronicashire,2024-11-01,103.92
I00028791,O00013241,P001091,U000542,1.0,215.69,215.69,2024-12-09 17:21:34.507722,Shipped,620.06,Solace Owner,Home & Kitchen,Solace,215.69,4.31,Jamie Rich,ashley46@example.net,Other,Veronicashire,2024-11-01,215.69
I00028792,O00013242,P001396,U004056,3.0,21.3,63.9,2024-02-25 00:28:45.122962,Cancelled,618.08,Nimbus Top,Groceries,Nimbus,21.3,3.85,Jason Hansen,williamsonrobin@example.com,Other,Jonathanhaven,2024-02-12,63.900000000000006
I00028793,O00013242,P000293,U004056,3.0,122.71,368.13,2024-02-25 00:28:45.122962,Cancelled,618.08,Astra Season,Sports,Astra,122.71,3.34,Jason Hansen,williamsonrobin@example.com,Other,Jonathanhaven,2024-02-12,368.13
I00028816,O00013255,P000444,U001177,3.0,28.92,86.76,2024-04-02 15:31:49.583402,Returned,86.76,Everest Opportunity,Groceries,Everest,28.92,2.63,Raymond Garcia,william48@example.net,Male,Port Brianshire,2025-03-30,86.76
I00028818,O00013256,P000616,U005106,1.0,28.51,28.51,2024-10-16 22:53:17.938541,Processing,233.2,Acme Indeed,Toys,Acme,28.51,4.48,Angela Lopez,shellylewis@example.net,Male,Lake Kennethhaven,2025-11-08,28.51
I00028861,O00013277,P000272,U000871,1.0,570.1,570.1,2025-06-25 11:01:22.148218,Completed,1379.87,Nimbus Process,Electronics,Nimbus,570.1,4.73,Julie Klein,john89@example.org,,Oconnellhaven,2025-09-15,570.1
I00028841,O00013268,P000180,U000413,1.0,400.2,400.2,2024-02-21 10:19:39.864256,Cancelled,732.77,Orion Upon,Home & Kitchen,Orion,400.2,3.42,Rachel Greene,davisdonna@example.net,Male,Port Erikachester,2024-05-01,400.2
I00028843,O00013269,P000479,U005256,1.0,92.17,92.17,2025-06-13 18:49:54.901496,Processing,154.29,Astra Hospital,Pet Supplies,Astra,92.17,3.78,Robert Parker,dcook@example.com,Female,Josemouth,2024-06-08,92.17
I00028844,O00013269,P001891,U005256,1.0,56.77,56.77,2025-06-13 18:49:54.901496,Processing,154.29,Nimbus Figure,Books,Nimbus,56.77,2.73,Robert Parker,dcook@example.com,Female,Josemouth,2024-06-08,56.77
I00028845,O00013269,P000430,U005256,1.0,5.35,5.35,2025-06-13 18:49:54.901496,Processing,154.29,GreenLeaf Own,Groceries,GreenLeaf,5.35,4.51,Robert Parker,dcook@example.com,Female,Josemouth,2024-06-08,5.35
I00028846,O00013270,P001958,U007985,1.0,94.62,94.62,2025-09-01 21:58:07.826419,Processing,442.26,Willow Go,Pet Supplies,Willow,94.62,3.76,Caroline Pruitt,jacqueline57@example.org,Female,Brandichester,2025-11-09,94.62
I00028847,O00013270,P001622,U007985,2.0,5.29,10.58,2025-09-01 21:58:07.826419,Processing,442.26,Willow Break,Beauty,Willow,5.29,2.62,Caroline Pruitt,jacqueline57@example.org,Female,Brandichester,2025-11-09,10.58
I00028848,O00013270,P001260,U007985,1.0,337.06,337.06,2025-09-01 21:58:07.826419,Processing,442.26,Willow Add,Automotive,Willow,337.06,4.77,Caroline Pruitt,jacqueline57@example.org,Female,Brandichester,2025-11-09,337.06
I00028849,O00013271,P001518,U005426,3.0,128.53,385.59,2024-04-21 15:15:17.738652,Completed,662.83,Zenith Board,Beauty,Zenith,128.53,2.94,Robert Baldwin,jorge99@example.net,Other,Port Jennaville,2024-01-30,385.59000000000003
I00028850,O00013271,P001188,U005426,3.0,61.06,183.18,2024-04-21 15:15:17.738652,Completed,662.83,Astra Study,Toys,Astra,61.06,3.4,Robert Baldwin,jorge99@example.net,Other,Port Jennaville,2024-01-30,183.18
I00028851,O00013271,P001926,U005426,2.0,47.03,94.06,2024-04-21 15:15:17.738652,Completed,662.83,GreenLeaf If,Toys,GreenLeaf,47.03,4.38,Robert Baldwin,jorge99@example.net,Other,Port Jennaville,2024-01-30,94.06
I00028852,O00013272,P001315,U001042,2.0,16.45,32.9,2025-03-15 13:00:12.340128,Returned,32.9,Everest Well,Books,Everest,16.45,3.39,Joe Alexander,bbenton@example.com,Female,West Joshuafurt,2024-01-25,32.9
I00028853,O00013273,P000488,U003477,2.0,264.67,529.34,2025-04-24 04:35:50.169446,Shipped,529.34,Solace Level,Home & Kitchen,Solace,264.67,4.59,Tammy Escobar,brian93@example.net,Other,Port Mollyborough,2024-04-06,529.34
I00028854,O00013274,P000552,U009999,1.0,190.22,190.22,2024-12-11 17:20:38.537828,Shipped,,Solace Budget,Sports,Solace,190.22,2.85,Michelle Parker,savannah49@example.net,Female,Wellsfurt,2025-03-15,190.22
I00028855,O00013274,P001850,U009999,1.0,129.49,129.49,2024-12-11 17:20:38.537828,Shipped,,Willow Amount,Beauty,Willow,129.49,3.7,Michelle Parker,savannah49@example.net,Female,Wellsfurt,2025-03-15,129.49
I00028856,O00013274,P001967,U009999,3.0,18.89,56.67,2024-12-11 17:20:38.537828,Shipped,,Harbor Reach,Pet Supplies,Harbor,18.89,2.83,Michelle Parker,savannah49@example.net,Female,Wellsfurt,2025-03-15,56.67
I00028857,O00013275,P000116,U005631,1.0,128.31,128.31,2024-05-01 11:23:21.310645,Completed,877.15,Acme Stock,Home & Kitchen,Acme,128.31,2.95,Julia Foster,paynefelicia@example.net,Other,,2025-10-15,128.31
I00028858,O00013275,P000014,U005631,1.0,99.56,99.56,2024-05-01 11:23:21.310645,Completed,877.15,Astra Anyone,Electronics,Astra,99.56,3.67,Julia Foster,paynefelicia@example.net,Other,,2025-10-15,99.56
I00028859,O00013275,P000653,U005631,1.0,649.28,649.28,2024-05-01 11:23:21.310645,Completed,877.15,Orion Coach,Electronics,Orion,649.28,3.41,Julia Foster,paynefelicia@example.net,Other,,2025-10-15,649.28
I00028842,O00013268,P000141,U000413,1.0,332.57,332.57,2024-02-21 10:19:39.864256,Cancelled,732.77,Harbor Since,Automotive,Harbor,332.57,3.41,Rachel Greene,davisdonna@example.net,Male,Port Erikachester,2024-05-01,332.57
I00028840,O00013267,P000204,U000356,1.0,112.83,112.83,2024-04-28 12:21:18.876213,Shipped,654.9,Orion Last,Pet Supplies,Orion,112.83,2.77,Patricia Friedman,natalie15@example.com,Male,North Richard,2024-08-12,112.83
I00028819,O00013256,P000105,U005106,1.0,146.49,146.49,2024-10-16 22:53:17.938541,Processing,233.2,Acme Lead,Sports,Acme,146.49,3.91,Angela Lopez,shellylewis@example.net,Male,Lake Kennethhaven,2025-11-08,146.49
I00028839,O00013267,P000126,U000356,1.0,423.57,423.57,2024-04-28 12:21:18.876213,Shipped,654.9,Willow Arm,Sports,Willow,423.57,4.72,Patricia Friedman,natalie15@example.com,Male,North Richard,2024-08-12,423.57
I00028820,O00013257,P001144,U008231,3.0,96.51,289.53,2025-10-03 21:48:54.515177,Returned,1452.17,GreenLeaf Know,Clothing,GreenLeaf,96.51,3.72,Latasha Munoz,barbarathomas@example.net,Male,Port Teresafort,2025-07-11,289.53000000000003
I00028821,O00013257,P001277,U008231,2.0,422.63,845.26,2025-10-03 21:48:54.515177,Returned,1452.17,NeoTech Toward,Sports,NeoTech,422.63,2.81,Latasha Munoz,barbarathomas@example.net,Male,Port Teresafort,2025-07-11,845.26
I00028822,O00013257,P001507,U008231,1.0,317.38,317.38,2025-10-03 21:48:54.515177,Returned,1452.17,Harbor Thousand,Sports,Harbor,317.38,3.83,Latasha Munoz,barbarathomas@example.net,Male,Port Teresafort,2025-07-11,317.38
I00028823,O00013258,P000070,U005084,2.0,802.45,1604.9,2024-09-14 15:04:22.452102,Cancelled,1627.5,Solace Other,Electronics,Solace,802.45,3.67,Donald Sims,marshalldylan@example.org,Other,East Nathan,2025-04-19,1604.9
I00028825,O00013258,P001656,U005084,1.0,20.13,20.13,2024-09-14 15:04:22.452102,Cancelled,1627.5,Orion Administration,Pet Supplies,Orion,20.13,2.8,Donald Sims,marshalldylan@example.org,Other,East Nathan,2025-04-19,20.13
I00028827,O00013260,P000334,U004516,2.0,84.07,168.14,2024-05-28 18:06:36.315611,Processing,459.05,Pulse Something,Pet Supplies,Pulse,84.07,4.19,Lucas White,carriebrewer@example.com,Other,Joshualand,2024-07-08,168.14
I00028828,O00013260,P001725,U004516,3.0,96.97,290.91,2024-05-28 18:06:36.315611,Processing,459.05,Willow Only,Beauty,Willow,96.97,2.63,Lucas White,carriebrewer@example.com,Other,Joshualand,2024-07-08,290.90999999999997
I00028829,O00013261,P000621,U006451,1.0,7.92,7.92,2024-07-10 10:14:47.007869,Returned,7.92,Astra Daughter,Toys,Astra,7.92,,Robert Bailey,ccabrera@example.org,Female,East Meaganshire,2024-02-05,7.92
I00028830,O00013262,P001579,U008532,3.0,124.87,374.61,2024-06-17 08:44:34.592930,Completed,696.91,Willow Know,Automotive,Willow,124.87,3.25,Brian Carroll,zcampbell@example.net,Female,East Valerie,2024-09-16,374.61
I00028831,O00013262,P001471,U008532,2.0,161.15,322.3,2024-06-17 08:44:34.592930,Completed,696.91,NeoTech Writer,Sports,NeoTech,161.15,3.39,Brian Carroll,zcampbell@example.net,Female,East Valerie,2024-09-16,322.3
I00028832,O00013263,P000930,U004477,1.0,32.43,32.43,2024-03-19 14:44:16.200085,Shipped,32.43,Nimbus Hot,Toys,Nimbus,32.43,3.71,Timothy Patel,zgarrett@example.com,Male,Analand,2025-03-17,32.43
I00028833,O00013264,P000534,U002843,1.0,19.24,19.24,2024-06-16 19:53:43.882255,Cancelled,51.97,Astra Speak,Pet Supplies,Astra,19.24,4.49,Jennifer Jarvis,amy22@example.org,Male,Andersonland,2024-10-28,19.24
I00028834,O00013264,P000905,U002843,1.0,32.73,32.73,2024-06-16 19:53:43.882255,Cancelled,51.97,Solace Star,Toys,Solace,32.73,4.6,Jennifer Jarvis,amy22@example.org,Male,Andersonland,2024-10-28,32.73
I00028835,O00013265,P000029,U003078,1.0,357.87,357.87,2025-03-29 05:34:07.218866,Processing,357.87,Solace Player,Automotive,Solace,357.87,4.32,Adam Ross,vaughnpaula@example.org,Male,Mccormickberg,2024-06-23,357.87
I00028836,O00013266,P001160,U005382,2.0,88.97,177.94,2025-09-12 12:55:44.653232,Completed,177.94,Everest Compare,Sports,Everest,88.97,2.5,Ann Kirk,galvanwilliam@example.net,,West Kelseytown,2024-11-20,177.94
I00028837,O00013267,P001837,U000356,1.0,72.87,72.87,2024-04-28 12:21:18.876213,Shipped,654.9,Pulse Above,Toys,Pulse,72.87,3.13,Patricia Friedman,natalie15@example.com,Male,North Richard,2024-08-12,72.87
I00028838,O00013267,P000497,U000356,3.0,15.21,45.63,2024-04-28 12:21:18.876213,Shipped,654.9,Acme Owner,Books,Acme,15.21,3.69,Patricia Friedman,natalie15@example.com,Male,North Richard,2024-08-12,45.63
I00028775,O00013235,P000497,U007516,1.0,15.21,15.21,2025-09-14 05:33:34.452213,Shipped,668.73,Acme Owner,Books,Acme,15.21,3.69,Heather Ramirez,rjohnson@example.org,Male,Camposfort,2025-02-23,15.21
I00028773,O00013235,P000383,U007516,1.0,26.27,26.27,2025-09-14 05:33:34.452213,Shipped,668.73,Nimbus Knowledge,Sports,Nimbus,26.27,4.47,Heather Ramirez,rjohnson@example.org,Male,Camposfort,2025-02-23,26.27
I00028772,O00013234,P001003,U005841,1.0,676.95,676.95,2024-12-25 07:14:03.717016,Completed,864.94,Willow Peace,Automotive,Willow,676.95,4.22,Jeffery Reyes,mallory73@example.net,Female,Port Allisonstad,2024-03-22,676.95
I00028709,O00013208,P001701,U009246,1.0,513.32,513.32,2025-01-29 13:12:23.819322,Returned,2897.95,Willow Executive,Electronics,Willow,513.32,4.66,Debbie Shelton,sarah62@example.net,Male,Lake Crystalchester,2024-11-10,513.32
I00028711,O00013209,P001581,U006565,1.0,225.32,225.32,2025-06-19 20:13:56.779778,Shipped,1892.57,Everest Skin,Automotive,Everest,225.32,3.65,Sean Smith,christopher80@example.net,Female,North Terryberg,2025-09-21,225.32
I00028712,O00013209,P001807,U006565,1.0,557.39,557.39,2025-06-19 20:13:56.779778,Shipped,1892.57,Nimbus Maintain,Electronics,Nimbus,557.39,3.67,Sean Smith,christopher80@example.net,Female,North Terryberg,2025-09-21,557.39
I00028713,O00013210,P000670,U003929,1.0,79.6,79.6,2024-02-18 10:44:34.157661,Shipped,79.6,GreenLeaf Evidence,Pet Supplies,GreenLeaf,79.6,3.87,Suzanne Robertson,jeffrey15@example.com,Male,Craigbury,2025-06-06,79.6
I00028714,O00013211,P000991,U002073,1.0,19.08,19.08,2025-03-19 01:12:18.966553,Shipped,943.41,Everest Drug,Clothing,Everest,19.08,4.39,Katherine White,mooreashley@example.com,Male,West Denise,2024-04-18,19.08
I00028715,O00013211,P000886,U002073,1.0,886.77,886.77,2025-03-19 01:12:18.966553,Shipped,943.41,Pulse Sea,Automotive,Pulse,886.77,4.79,Katherine White,mooreashley@example.com,Male,West Denise,2024-04-18,886.77
I00028717,O00013212,P000422,U006126,1.0,257.15,257.15,2025-07-26 22:05:09.571944,Processing,596.15,Everest Fire,Clothing,Everest,257.15,4.37,Scott Garcia,jenniferrivera@example.com,Other,Port Jeffrey,2024-05-10,257.15
I00028718,O00013212,P000437,U006126,1.0,130.95,130.95,2025-07-26 22:05:09.571944,Processing,596.15,GreenLeaf Various,Clothing,GreenLeaf,130.95,3.37,Scott Garcia,jenniferrivera@example.com,Other,Port Jeffrey,2024-05-10,130.95
I00028719,O00013212,P000404,U006126,1.0,208.05,208.05,2025-07-26 22:05:09.571944,Processing,596.15,Astra Grow,Sports,Astra,208.05,4.61,Scott Garcia,jenniferrivera@example.com,Other,Port Jeffrey,2024-05-10,208.05
I00028721,O00013213,P001786,U004801,1.0,48.62,48.62,2024-01-16 00:05:41.473158,Processing,1505.83,Astra Expect,Sports,Astra,48.62,4.88,Sara Preston,marissaharris@example.org,Other,Samuelmouth,2025-11-14,48.62
I00028722,O00013213,P000686,U004801,1.0,29.92,29.92,2024-01-16 00:05:41.473158,Processing,1505.83,Willow Bring,Clothing,Willow,29.92,4.3,Sara Preston,marissaharris@example.org,Other,Samuelmouth,2025-11-14,29.92
I00028723,O00013213,P000747,U004801,2.0,126.37,252.74,2024-01-16 00:05:41.473158,Processing,1505.83,Willow Continue,Beauty,Willow,126.37,3.83,Sara Preston,marissaharris@example.org,Other,Samuelmouth,2025-11-14,252.74
I00028724,O00013213,P001732,U004801,1.0,417.15,417.15,2024-01-16 00:05:41.473158,Processing,1505.83,Pulse Baby,Electronics,Pulse,417.15,2.63,Sara Preston,marissaharris@example.org,Other,Samuelmouth,2025-11-14,417.15
I00028725,O00013213,P001755,U004801,1.0,305.42,305.42,2024-01-16 00:05:41.473158,Processing,1505.83,GreenLeaf Star,Automotive,GreenLeaf,305.42,3.33,Sara Preston,marissaharris@example.org,Other,Samuelmouth,2025-11-14,305.42
I00028726,O00013214,P001970,U005215,1.0,136.74,136.74,2025-03-06 18:53:01.461296,Processing,136.74,Astra Success,Beauty,Astra,136.74,4.48,Christian Johnson,nataliemartin@example.net,Female,Mcdonaldchester,2025-01-30,136.74
I00028727,O00013215,P000156,U009127,1.0,51.52,51.52,2024-02-08 03:37:31.565880,Shipped,4115.1,Harbor Difference,Books,Harbor,51.52,4.34,Jasmine Robinson,gainesmackenzie@example.org,Male,South Shelby,2025-01-05,51.52
I00028728,O00013215,P001183,U009127,2.0,1835.32,3670.64,2024-02-08 03:37:31.565880,Shipped,4115.1,Nimbus Word,Electronics,Nimbus,1835.32,,Jasmine Robinson,gainesmackenzie@example.org,Male,South Shelby,2025-01-05,3670.64
I00028729,O00013215,P001771,U009127,3.0,120.32,360.96,2024-02-08 03:37:31.565880,Shipped,4115.1,GreenLeaf Guess,Sports,GreenLeaf,120.32,4.36,Jasmine Robinson,gainesmackenzie@example.org,Male,South Shelby,2025-01-05,360.96
I00028710,O00013209,P000527,U006565,2.0,554.93,1109.86,2025-06-19 20:13:56.779778,Shipped,1892.57,Astra Democrat,Electronics,Astra,554.93,2.99,Sean Smith,christopher80@example.net,Female,North Terryberg,2025-09-21,1109.86
I00028708,O00013208,P000726,U009246,2.0,109.92,219.84,2025-01-29 13:12:23.819322,Returned,2897.95,NeoTech Production,Clothing,NeoTech,109.92,3.27,Debbie Shelton,sarah62@example.net,Male,Lake Crystalchester,2024-11-10,219.84
I00028771,O00013234,P001797,U005841,1.0,187.99,187.99,2024-12-25 07:14:03.717016,Completed,864.94,GreenLeaf Green,Automotive,GreenLeaf,187.99,3.37,Jeffery Reyes,mallory73@example.net,Female,Port Allisonstad,2024-03-22,187.99
I00028707,O00013208,P001067,U009246,1.0,98.53,98.53,2025-01-29 13:12:23.819322,Returned,2897.95,GreenLeaf More,Sports,GreenLeaf,98.53,3.36,Debbie Shelton,sarah62@example.net,Male,Lake Crystalchester,2024-11-10,98.53
I00028689,O00013199,P001122,U006028,2.0,13.85,27.7,2025-10-23 21:10:15.461122,Processing,2002.61,Nimbus At,Beauty,Nimbus,13.85,2.56,Vanessa Munoz,simmonsstacy@example.com,Male,Port Tammyfort,2025-07-31,27.7
I00028690,O00013200,P000197,U005464,1.0,20.84,20.84,2025-01-09 09:24:57.235274,Processing,20.84,Astra Brother,Pet Supplies,Astra,20.84,4.47,Erica Hudson,sarah03@example.net,Male,South Barbaraside,2025-08-25,20.84
I00028691,O00013201,P001480,U009679,2.0,20.68,41.36,2024-01-11 11:18:57.402999,Returned,41.36,GreenLeaf Deal,Pet Supplies,GreenLeaf,20.68,4.81,Matthew Jordan,losborne@example.com,Other,Gregorymouth,2024-02-01,41.36
I00028692,O00013202,P000993,U006203,1.0,564.72,564.72,2024-03-24 01:41:40.754742,Cancelled,564.72,NeoTech Laugh,Electronics,NeoTech,564.72,3.3,Sarah Brown,kayla16@example.org,,Sullivanville,2025-06-06,564.72
I00028694,O00013203,P001671,U007479,1.0,8.06,8.06,2025-03-23 05:13:13.588008,Shipped,63.38,Nimbus Garden,Beauty,Nimbus,8.06,4.12,Sherry Bryant,brownrobert@example.com,Other,Lowerytown,2025-09-13,8.06
I00028695,O00013203,P000832,U007479,2.0,8.06,16.12,2025-03-23 05:13:13.588008,Shipped,63.38,NeoTech Able,Groceries,NeoTech,8.06,,Sherry Bryant,brownrobert@example.com,Other,Lowerytown,2025-09-13,16.12
I00028696,O00013203,P001293,U007479,2.0,9.53,19.06,2025-03-23 05:13:13.588008,Shipped,63.38,Zenith Without,,Zenith,9.53,3.3,Sherry Bryant,brownrobert@example.com,Other,Lowerytown,2025-09-13,19.06
I00028697,O00013204,P000137,U003426,1.0,441.37,441.37,2024-06-11 03:06:33.693747,Returned,441.37,Willow Such,Automotive,Willow,441.37,2.59,Jennifer Butler,,Other,Russellbury,2025-07-11,441.37
