event_id,user_id,product_id,event_type,event_timestamp,name,email,gender,city,signup_date,product_name,category,brand,price,rating
E00052506,U008631,P000920,Cart,2024-01-25 13:22:34.292338,Christina Kennedy,ffischer@example.net,Male,North Brendachester,2024-05-11,Nimbus Girl,Books,Nimbus,65.35,4.7
E00052505,U002091,P001382,View,2024-01-09 21:58:12.403948,John Skinner,lwashington@example.com,Male,West Steven,2024-03-12,Astra Guy,Automotive,Astra,93.21,3.43
E00052504,U003000,P000314,View,2025-08-18 07:39:12.478589,Matthew Knight,bfrench@example.org,Other,North Melissa,2024-07-11,Everest According,Books,Everest,79.29,4.76
E00052503,U004104,P000259,Wishlist,2025-03-17 02:52:17.242331,Kent Simpson,nhobbs@example.com,Male,Port Stevenstad,2024-05-25,Orion Financial,Sports,Orion,166.86,4.42
E00052502,U008327,P000900,View,2024-04-11 18:28:18.750700,Brenda Gamble,chasedaniel@example.net,Male,New Gregory,2024-10-09,Pulse Real,Groceries,Pulse,21.1,3.35
E00052500,U007031,P000480,Wishlist,2025-06-26 03:44:38.661752,Alexander Perry,hernandezantonio@example.org,Other,West Mikemouth,,Harbor Enjoy,Pet Supplies,Harbor,60.33,4.31
E00052499,U002583,P000401,View,2024-12-11 22:54:56.310222,Nathan Kelly,johnroberts@example.com,Female,Johnmouth,2025-06-28,Astra Discuss,Automotive,Astra,291.84,4.53
E00052498,U003212,P000434,View,2024-02-22 04:51:28.810136,Veronica Stuart,dmason@example.com,Male,Markfurt,2025-04-28,NeoTech Anything,Toys,NeoTech,52.83,3.36
E00052496,U003958,P001490,View,2025-01-27 06:09:02.664838,Shawn Henderson,bparker@example.com,Male,Colemanfurt,2025-08-07,Orion Total,Clothing,Orion,158.04,3.02
E00052495,U009476,P001858,View,2024-05-31 04:44:57.320673,Bill Herring,alexandriafletcher@example.net,Other,Willisview,2024-08-06,Everest Run,Books,Everest,54.55,4.3
E00052494,U007714,P001302,View,2025-03-16 17:24:15.660906,Jessica Maldonado,ibarber@example.com,Male,,2025-03-06,Astra Establish,Sports,Astra,13.29,4.64
E00052493,U009118,P001531,Cart,2024-06-04 21:07:48.748886,Patricia Parker,danielle85@example.net,Female,Williamton,2024-05-22,Pulse Race,Pet Supplies,Pulse,49.15,2.8
E00052492,U006891,P000602,View,2025-06-05 00:53:55.980761,Mary Spencer,donnadavis@example.net,Other,New Gary,2025-06-25,Nimbus Word,Toys,Nimbus,52.18,4.75
E00052469,U006171,P000583,Wishlist,2025-03-26 17:48:28.880835,Lisa Burgess,kimberlytownsend@example.org,Other,Vanessaport,2024-02-24,Zenith Event,Beauty,Zenith,137.49,
E00052467,U005503,P001257,View,2025-02-18 09:09:55.480906,Samantha Ballard,johnsonrichard@example.com,Other,Gomezland,2024-04-06,Nimbus Small,Automotive,Nimbus,854.8,3.66
E00052426,U000228,P001912,View,2024-04-26 09:04:01.600865,Christopher Montgomery,jennifermiller@example.org,Other,Dawsonberg,2025-03-27,NeoTech Imagine,Beauty,NeoTech,257.28,3.87
E00052446,U001107,P001620,View,2025-08-14 10:06:15.389335,Douglas Alvarez,morrispaula@example.org,Female,New Lindsay,2025-02-24,Zenith Television,Books,Zenith,39.96,3.84
E00052443,U002770,P001094,View,2024-07-01 12:53:29.802333,Stephanie Meyer,dakota45@example.com,Female,South Steven,2025-02-16,Astra Type,Groceries,Astra,11.95,3.52
E00052442,U004498,P001626,View,2025-03-19 02:48:08.972903,Richard Harper,raymichael@example.net,Other,Danielfurt,2025-07-09,Nimbus Out,Groceries,Nimbus,30.12,4.19
E00052441,U005550,P001423,Wishlist,2024-10-15 14:02:32.057126,Sean Curtis,leeapril@example.com,Other,East Sarahtown,2024-11-01,Astra Avoid,Beauty,Astra,56.11,4.26
E00052440,U003756,P000202,View,2024-06-28 06:56:28.820759,Melissa Dodson,danny19@example.com,Other,Lake Martin,2024-12-19,Harbor Body,Groceries,Harbor,26.28,3.51
E00052439,U005192,P000518,View,2024-10-24 03:35:39.677859,Deborah Holloway,chandlerfelicia@example.org,Other,Alvaradoview,2024-01-29,Willow Newspaper,Groceries,Willow,20.15,4.77
E00052438,U002874,P000884,View,2025-04-09 05:57:09.087664,Steven Obrien,ucox@example.com,Other,Lake Tyler,2025-05-21,Willow Nation,Pet Supplies,Willow,15.29,4.05
E00052437,U003333,P000042,View,2025-11-06 01:36:57.445430,Hailey Richardson,amedina@example.com,Female,North Stephanieport,2024-10-02,NeoTech Power,Toys,NeoTech,36.95,4.49
E00052436,U004804,P001488,View,2025-10-15 12:04:26.300980,Cassandra Patel,enelson@example.org,Female,Williamsborough,2024-09-07,Zenith Like,Books,Zenith,46.59,3.0
E00052435,U006109,P000977,View,2025-04-21 19:46:43.861498,Melissa Thompson,andrew44@example.org,,Smithview,2024-12-22,Pulse Rise,Electronics,Pulse,1131.3,4.25
E00052434,U009586,P000210,Purchase,2024-08-26 20:06:20.758750,Katherine Evans,shane58@example.com,Female,Port Karen,2025-01-18,Nimbus Little,Toys,Nimbus,253.94,4.19
E00052432,U004526,P000089,Cart,2024-03-24 23:59:16.733351,Connie Brandt,ywoods@example.com,Male,Aaronbury,2024-12-21,Harbor Necessary,Sports,Harbor,43.43,3.55
E00052431,U002059,P000277,View,2024-08-14 08:16:11.322791,Jordan Reed,mcdanielsherry@example.net,Male,South James,2025-06-15,Orion Their,Beauty,Orion,43.39,3.03
E00052430,U005306,P001582,View,2024-07-10 07:10:23.068371,Mark Nguyen,wgeorge@example.com,Female,South Beth,2025-03-23,Solace Everyone,Clothing,Solace,242.11,3.76
E00052429,U000309,P000461,View,2025-03-31 11:37:05.776847,Jenna Fowler,sean43@example.org,Male,West Jonathanville,2024-03-01,Nimbus Family,Electronics,Nimbus,1700.35,3.99
E00052428,U005830,P000167,View,2024-09-04 11:32:29.014047,Cameron Sexton,melissa13@example.org,Female,Burtonview,2025-02-26,Pulse Answer,Sports,Pulse,28.53,4.4
E00052445,U008615,P000512,View,2024-02-26 13:32:04.590226,Stacey Olson,alexmacias@example.org,Male,Port Bryanville,2025-06-05,Nimbus Knowledge,Sports,Nimbus,101.36,4.22
E00052447,U001820,P000601,View,2024-05-25 01:14:55.407910,William Walters,jon25@example.net,Female,Lake Lisa,2025-09-21,Acme Manage,Sports,Acme,343.78,3.5
E00052466,U006809,P000463,View,2025-08-25 00:31:03.312717,Amy Daniels,nicoleyoung@example.com,Other,Sandovalshire,2025-01-27,Willow Plant,Sports,Willow,18.57,4.4
E00052448,U009837,P000421,Cart,2024-02-16 23:57:19.185042,Charles Lloyd,lorraine82@example.com,Female,,2025-08-10,NeoTech Method,Toys,NeoTech,121.71,3.83
E00052465,U007307,P000835,Cart,2025-10-30 10:47:42.284392,Glenn Duffy,,Female,Grayfort,2024-12-03,Acme School,Books,Acme,17.57,4.28
E00052464,U009652,P000618,View,2024-06-19 01:42:44.333662,Tammie Morris,ashleylloyd@example.org,Male,Petersonfurt,2024-03-13,Harbor Race,Clothing,Harbor,182.11,3.1
E00052463,U000465,P000872,Wishlist,2024-12-09 08:50:51.873996,Dana Gray,nicoleharvey@example.com,Other,West Jennifer,2024-01-01,Astra Begin,Sports,Astra,51.33,2.97
E00052461,U005562,P001877,View,2024-12-05 09:50:29.343536,Linda Bailey,williamgreen@example.com,Male,Martinshire,2024-11-09,Orion Miss,Toys,Orion,63.71,3.93
E00052460,U003847,P001452,View,2024-06-07 14:49:48.894754,Eric Wright,nataliemartinez@example.com,Female,Gonzaleschester,2024-10-05,Harbor Significant,Home & Kitchen,Harbor,505.82,2.92
E00052459,U007029,P001049,View,2025-01-09 17:06:25.432681,Marie Lynch,brian98@example.net,Female,Lloydfurt,2024-12-25,Zenith Their,Electronics,Zenith,1599.98,3.71
E00052458,U005584,P001989,Wishlist,2025-11-04 20:05:13.878425,Paula Reynolds,tyler54@example.net,Other,Maynardton,2024-11-16,GreenLeaf Major,Books,GreenLeaf,61.57,3.58
E00052457,U007103,P001374,View,2025-01-17 19:53:22.282061,Greg Nguyen,april53@example.org,Male,Ryanton,2024-08-19,Orion Particularly,Clothing,Orion,92.28,4.35
E00052455,U006575,P001395,View,2024-10-08 04:27:12.776015,Roy Henry,zimmermanlaura@example.org,Female,North Matthewville,2025-04-26,Everest Dog,Home & Kitchen,Everest,269.98,4.17
E00052454,U004644,P001490,View,2024-06-29 08:38:13.269756,Jimmy Bates,palmerjessica@example.org,Other,Dixonfurt,2025-01-17,Orion Total,Clothing,Orion,158.04,3.02
E00052453,U002444,P000419,View,2025-02-13 22:23:55.960254,Luis Lawrence,joshua27@example.org,Female,Bestborough,2025-06-24,Astra Remain,Groceries,Astra,18.47,3.73
E00052452,U006750,P001142,Wishlist,2025-11-09 22:27:44.324001,Susan Ashley,rharris@example.org,Female,Robinbury,2025-01-18,Nimbus Last,Home & Kitchen,Nimbus,,4.33
E00052451,U001212,P001326,View,2025-03-28 04:58:59.205019,Judy Patrick,michaelbuckley@example.org,Female,South Jamesfurt,2025-10-22,GreenLeaf Interview,Clothing,GreenLeaf,61.39,4.0
E00052450,U001733,P001042,View,2024-06-02 06:47:58.315326,John Taylor,ijones@example.com,Other,South Cameronstad,2025-05-05,Pulse Degree,Home & Kitchen,Pulse,225.0,3.64
E00052449,U001610,P000511,Purchase,2024-08-28 09:33:23.073214,Joseph Taylor,michellemcmahon@example.com,Other,,2025-01-19,Nimbus Should,Clothing,Nimbus,34.13,2.6
E00052510,U004766,P001186,View,2024-06-07 02:44:52.591590,Kimberly Bennett,jennifer53@example.com,Other,Port Bailey,2024-11-08,Solace Commercial,Groceries,Solace,26.74,2.63
E00052511,U001865,P001043,View,2024-12-27 18:29:56.697790,Jonathon Ware,gblair@example.com,,Morrisview,2025-09-18,NeoTech Opportunity,Clothing,NeoTech,28.05,4.84
E00052512,U000461,P000766,View,2025-09-21 12:24:39.557400,Vincent Parks,sarah00@example.com,Male,Lake Amanda,2024-06-19,Pulse Sell,Clothing,Pulse,22.48,4.44
E00052570,U000254,P000665,View,2024-08-24 02:04:22.027456,Katherine Wolf,bpayne@example.org,Male,West Nancy,2025-01-05,Zenith Hotel,Clothing,Zenith,76.18,3.96
E00052568,U008494,P001259,Purchase,2025-04-16 17:01:29.445774,David Bryant,kevin51@example.net,Female,Ayalaton,2024-01-20,Solace How,Electronics,Solace,490.48,4.24
E00052567,U001347,P000964,Cart,2025-01-05 08:35:28.999157,Nicole King,collinsjavier@example.org,Female,Jamiefurt,2025-01-22,Everest Some,Nan,Everest,32.78,2.89
E00052566,U002944,P000217,View,2025-05-20 13:53:16.731021,Michelle Duffy,ibaird@example.com,Male,Gardnerberg,2024-01-12,Zenith Follow,Clothing,Zenith,101.57,3.68
E00052565,U002093,P001114,Cart,2025-04-20 18:57:27.596439,Emma Graves,garzajill@example.org,Female,Kelseyfort,2025-03-05,Pulse Start,Home & Kitchen,Pulse,85.79,3.53
E00052564,U003412,P001566,Cart,2024-10-11 06:32:15.080767,Billy Zamora,brookeherrera@example.net,Female,Lake Alicia,2024-09-04,Willow Entire,,Willow,23.71,3.59
E00052563,U008594,P001589,View,2024-12-07 20:11:55.159716,Amy Aguilar,,Female,Lake Joshualand,2024-04-13,Harbor Else,Electronics,Harbor,175.72,3.7
E00052562,U007180,P001321,View,2025-05-30 11:03:56.685023,Michael Williams,joshuabrown@example.net,Other,Lake Erikaport,2024-02-20,Willow Data,Sports,Willow,27.24,3.32
E00052561,U002614,P001274,View,2024-06-30 12:02:19.955256,Stephen Warner,dustinwilliams@example.net,Other,Durhamview,2025-01-12,Nimbus Court,Beauty,Nimbus,83.98,4.17
E00052560,U008640,P000736,View,2025-04-25 21:02:43.039097,Shannon Diaz,josephellis@example.org,Male,North Christiantown,2024-03-03,GreenLeaf The,Home & Kitchen,GreenLeaf,,4.29
E00052558,U007434,P000690,Wishlist,2025-01-06 19:17:57.772268,Devin Nelson,vhaley@example.net,Other,Williamsfurt,2024-09-23,NeoTech Interesting,Nan,NeoTech,368.82,3.32
E00052557,U001533,P001393,Purchase,2024-03-12 22:02:18.089632,Lindsey Pitts,daniel43@example.org,Male,Morenomouth,2025-02-16,Willow Several,Automotive,Willow,314.95,3.1
E00052555,U001092,P000705,View,2024-11-05 22:49:57.881938,Jacqueline Hunter,fsmith@example.net,Male,Beanside,2024-07-13,Zenith Form,Pet Supplies,Zenith,62.05,3.32
E00052554,U008011,P001694,Cart,2025-08-25 14:42:25.997143,Yvette Bean,joseph42@example.com,Other,Lake Jesse,2024-09-20,,Pet Supplies,Solace,34.17,4.83
E00052553,U005968,P001507,View,2024-06-21 08:23:01.185644,Christopher Dennis,cruzjohn@example.com,Other,Danafort,2024-01-29,Harbor Thousand,Sports,Harbor,317.38,3.83
E00052552,U001239,P001202,Cart,2024-02-02 04:47:58.972149,Jennifer Williams,kphelps@example.net,Other,South Lisachester,2025-07-11,Zenith Anyone,Pet Supplies,Zenith,63.61,4.09
E00052569,U006087,P000004,View,2024-07-02 04:41:34.198120,Stephanie Manning,dawn08@example.net,Female,Mitchellton,2024-09-08,Nimbus South,Electronics,Nimbus,541.41,4.14
E00052571,U004861,P000381,Cart,2025-08-03 07:50:54.856010,Michael Phillips,edward00@example.org,Other,Daisyfurt,2024-07-15,Solace Chance,Sports,Solace,177.64,2.87
E00052513,U000408,P000085,Cart,2025-11-08 00:02:07.627991,Timothy Mendoza,brittanyholland@example.com,Other,East Bradleyshire,2025-05-07,Astra Make,Automotive,Astra,462.62,3.21
E00052572,U001274,P000513,View,2024-05-10 09:31:51.946373,Rose Rivera,valerieserrano@example.com,Female,Williamsberg,2025-03-27,Everest Child,Toys,Everest,11.93,3.45
E00052587,U007865,P000221,View,2025-05-02 08:31:11.368520,Emily Gonzalez,wallacemichael@example.net,Other,Robertmouth,2025-01-15,Nimbus Customer,Groceries,Nimbus,22.47,4.15
E00052586,U000261,P001014,View,2024-12-24 04:18:52.195015,Aaron Schroeder,simonstephen@example.net,Other,Melissaside,2024-08-11,Zenith Appear,,Zenith,10.78,3.04
E00052585,U008725,P001400,View,2024-02-13 16:15:37.344857,Julie Kelley,william64@example.net,Female,South Christineville,2025-02-16,Orion Bag,Beauty,Orion,86.41,4.22
E00052584,U004870,P000731,View,2024-10-29 09:13:05.707838,Kelsey Gamble,ryan73@example.net,Female,,2025-01-03,Pulse Treat,Electronics,Pulse,1236.42,4.23
E00052583,U002813,P000904,Wishlist,2024-07-15 19:43:57.718544,Donna Hughes,,Male,East Joshuaborough,2025-08-15,Nimbus Environment,Toys,Nimbus,47.08,3.97
E00052582,U003116,P000476,Cart,2024-01-05 11:38:47.720904,Latoya Turner,kevin97@example.com,Female,Lisachester,2025-05-25,Harbor Much,Automotive,Harbor,,4.38
E00052581,U001163,P001344,Cart,2024-03-08 00:30:12.705568,Jennifer Allen,mgiles@example.com,Other,West Calvin,2024-11-09,Orion Second,Pet Supplies,Orion,103.47,2.72
E00052580,U004701,P000351,View,2025-08-22 23:33:56.367415,Jacqueline Carter,shebert@example.com,,Port Patrick,2024-08-23,Willow Event,Toys,Willow,84.8,3.52
E00052579,U007668,P001539,Cart,2024-01-23 01:56:58.308482,Cassie Wilson,steven80@example.org,Male,Jessicachester,2024-10-28,Willow Into,Clothing,Willow,103.59,2.58
E00052578,U008137,P000328,Cart,2024-01-27 18:43:17.910581,James Garcia,lutzjennifer@example.net,Male,Lauraville,2025-01-16,Pulse Group,Toys,Pulse,26.74,4.05
E00052577,U003058,P000797,Wishlist,2025-10-05 23:42:27.066248,Anita Smith,karen34@example.com,Female,Aliport,2025-03-12,Astra Congress,Toys,Astra,9.98,4.15
E00052576,U001919,P000977,View,2024-12-12 07:20:56.902456,Joseph Phillips,david90@example.com,Male,Hillmouth,2024-02-02,Pulse Rise,Electronics,Pulse,1131.3,4.25
E00052575,U000280,P000164,View,2024-06-20 14:15:14.669358,Jonathan Garcia,perezwilliam@example.org,Male,East Brandonstad,2024-09-08,Astra Town,Books,Astra,60.85,2.81
E00052574,U006870,P001418,View,2024-07-09 06:53:50.731929,Becky Rogers,eugenejones@example.net,Other,South Robertmouth,2025-04-18,Zenith Certainly,Books,Zenith,3.45,2.92
E00052573,U002233,P000007,Purchase,2025-10-26 00:00:06.332411,Alicia Stout,jamiefox@example.net,Female,Brownside,2025-06-13,Zenith School,Toys,Zenith,81.17,2.61
E00052551,U003579,P000957,View,2025-09-20 15:35:54.679382,Katie Thompson,storres@example.com,Other,Lake Laura,2024-03-28,Pulse Consider,Groceries,Pulse,20.31,3.49
E00052550,U002904,P001713,Wishlist,2024-10-18 13:20:53.150959,Zachary Coleman,paul68@example.net,Other,,2024-02-20,Zenith Into,Toys,Zenith,37.8,4.17
E00052549,U005173,P001054,View,2024-07-07 07:34:08.850334,Amanda Knight,rthompson@example.com,Other,Paulbury,2024-12-09,Orion Rate,Groceries,Orion,24.61,4.77
E00052548,U009629,P000693,Cart,2025-04-23 03:19:49.386599,Beth Edwards,colleen19@example.org,Female,Rosemouth,2025-06-11,GreenLeaf Job,Groceries,GreenLeaf,1.11,2.84
E00052528,U009106,P001209,View,2025-01-01 19:00:21.509380,William Lambert,lthomas@example.net,Other,Lake Sarahbury,2024-01-05,Willow Radio,Pet Supplies,Willow,8.24,3.27
E00052527,U000513,P001002,View,2025-10-14 12:57:04.775213,Holly Armstrong,,Other,North Kaylamouth,2025-03-28,Harbor Night,Clothing,Harbor,209.1,3.68
E00052526,U004026,P000029,View,2024-07-13 19:31:16.780027,Lynn Bullock,ipruitt@example.org,Female,Patriciaton,2025-07-14,Solace Player,Automotive,Solace,357.87,4.32
E00052525,U006821,P000331,View,2024-11-28 10:32:30.527086,Marc Evans,christy33@example.com,Male,,2025-06-28,Everest Million,Sports,Everest,112.6,4.02
E00052524,U006462,P001421,View,2025-07-09 21:42:28.214394,Michael Mcgrath,lroth@example.net,Female,Sototown,2024-02-24,Astra Mean,Electronics,Astra,371.46,4.41
E00052523,U001480,P001227,View,2024-06-04 18:08:12.703132,Dustin Price,mollyhodge@example.net,Other,South Tracy,2025-08-09,GreenLeaf System,Electronics,GreenLeaf,1260.68,4.44
E00052522,U006568,P001529,View,2025-10-21 11:13:30.810470,Brian Delgado,lisa05@example.net,Other,Lake Jeffrey,2025-03-30,NeoTech Whom,Books,NeoTech,42.34,3.13
E00052521,U004389,P001987,View,2024-03-06 06:52:39.956998,Matthew Valdez,andersonjason@example.org,Male,Janeport,2024-01-01,Astra Sea,Automotive,Astra,871.03,3.23
E00052520,U009114,P000775,View,2024-11-24 22:32:16.688227,Melissa Pearson,vargaspaul@example.com,Male,North Laura,2024-06-03,Everest Real,Clothing,Everest,69.1,3.82
E00052519,U001554,P000233,Cart,2025-03-05 07:16:22.804559,Edward Matthews,melissa40@example.org,Other,South Karen,2024-09-29,Zenith Might,Sports,Zenith,173.94,2.64
E00052518,U006997,P000752,View,2024-07-08 18:01:46.208133,Tina White,christina88@example.net,Female,Nicolemouth,2024-05-23,Pulse Act,Groceries,Pulse,3.57,2.64
E00052517,U003206,P001742,View,2024-07-03 09:52:56.178244,Paul Griffin,torresstephanie@example.com,Female,Port Ashley,2024-04-25,GreenLeaf End,Electronics,GreenLeaf,814.3,3.93
E00052516,U004442,P000593,Wishlist,2024-11-07 07:31:41.609314,Jennifer Robinson,cruztodd@example.org,Other,Samanthaton,2024-08-10,Willow Military,Books,Willow,82.84,4.79
E00052515,U003401,P000681,View,2025-06-29 21:31:07.883943,Patricia Zimmerman,marissa54@example.com,Other,Pattersonhaven,2025-09-12,Acme Keep,Electronics,Acme,1708.2,2.93
E00052514,U003363,P000375,View,2024-06-29 08:34:18.880259,Trevor Sawyer,scottrodriguez@example.org,Female,Port Dustin,2025-05-11,Nimbus Choice,Home & Kitchen,Nimbus,21.73,3.12
E00052529,U005132,P000006,View,2025-05-14 11:37:48.775135,Steven Fernandez,powersjoseph@example.net,Male,West Mark,2025-03-08,NeoTech When,Toys,NeoTech,18.61,3.2
E00052530,U004416,P001540,View,2024-06-11 13:39:22.839638,Maria Hill,,Other,,2024-09-22,Harbor Whom,Automotive,Harbor,148.66,3.07
E00052531,U002283,P001866,Wishlist,2025-01-05 19:59:33.800281,Thomas Scott,jessicareed@example.net,Male,Amyland,2024-09-19,GreenLeaf Some,Home & Kitchen,GreenLeaf,21.92,2.78
E00052541,U009054,P000120,View,2024-10-17 21:31:09.904070,Wendy Burns,mcastillo@example.net,,Garciaton,2025-04-13,Zenith White,Clothing,Zenith,176.19,2.8
E00052547,U007947,P001747,Wishlist,2025-05-08 15:41:59.853678,Christopher Williams,hancockconnie@example.org,Female,Port Sharon,2025-06-23,Zenith Protect,Home & Kitchen,Zenith,103.92,4.57
E00052546,U002653,P001076,View,2024-12-12 11:56:32.327485,Michael Ford,mcknightelizabeth@example.org,Other,West Dawnmouth,2024-08-24,Pulse Take,Automotive,Pulse,139.06,2.85
E00052545,U002544,P001178,View,2024-09-18 09:32:49.091702,George Jackson,clifford98@example.net,Male,Port Lisa,2024-03-31,Solace Discuss,Sports,Solace,237.68,2.98
E00052544,U006996,P001422,View,2025-10-18 11:09:10.875061,Steven Lucas,justin14@example.net,Other,East Joshua,2025-08-03,,Automotive,Solace,660.72,3.23
E00052543,U002293,P001958,View,2024-05-02 19:36:30.367852,Richard Hill,jensenjason@example.com,Male,South Kevinfurt,2024-07-07,Willow Go,Pet Supplies,Willow,94.62,3.76
E00052542,U009922,P000612,View,2025-10-06 01:27:09.018107,Duane Ray,swhite@example.org,Other,Port Travis,2024-10-31,Nimbus Successful,Pet Supplies,Nimbus,92.36,4.59
E00052540,U000451,P000726,View,2025-08-27 23:04:45.839169,Laura Kelley,robertcastro@example.com,Other,East Jennifer,,NeoTech Production,Clothing,NeoTech,109.92,3.27
E00052532,U002462,P001558,Purchase,2024-01-30 20:39:48.244557,Michael Davis,hmiller@example.com,Female,Williamsstad,2025-08-16,Everest Factor,Clothing,Everest,142.38,2.78
E00052539,U004984,P000776,View,2024-05-02 10:27:16.864668,Jennifer Solomon,samantha38@example.org,Other,Taylorstad,2024-01-22,Pulse Study,Clothing,Pulse,41.51,3.81
E00052537,U007224,P000027,Wishlist,2025-08-16 14:32:30.639468,Shawn Phillips,jessicasmith@example.org,Other,Chenmouth,2025-06-11,Willow Evening,Toys,Willow,61.59,2.7
E00052536,U009022,P001094,View,2025-05-01 13:13:08.891508,Julie Smith,kent09@example.com,Female,East Denise,2024-01-04,Astra Type,Groceries,Astra,11.95,3.52
E00052535,U007081,P000250,View,2024-12-11 10:17:11.868257,Rhonda Wilson,robertsjoseph@example.org,Female,Susanview,2025-03-17,Harbor Seek,Sports,Harbor,162.91,3.13
E00052534,U009300,P000154,Wishlist,2024-04-12 01:39:17.955836,Sara Ingram,ybrewer@example.org,Female,Williamton,2025-10-11,Harbor Bill,Toys,Harbor,32.06,4.21
E00052533,U000552,P001009,View,2024-02-20 20:38:04.407275,Martin Gomez,keith09@example.net,Other,Jessicashire,2025-01-27,Orion Pull,Sports,Orion,32.46,
E00052427,U003284,P001909,View,2024-11-07 02:51:30.594081,Javier Palmer,heather69@example.net,Other,,2025-05-28,Orion Head,Beauty,Orion,69.0,2.73
E00052424,U009945,P001270,View,2025-04-04 22:07:14.987423,Kristen Anderson,hernandezmatthew@example.org,Female,Ricemouth,2025-02-28,Everest Raise,Pet Supplies,Everest,133.78,3.47
E00052589,U008925,P001809,Wishlist,2025-08-10 17:38:19.919461,Sarah Turner,lynngarza@example.com,Male,Christopherport,2025-03-13,Zenith Board,Home & Kitchen,Zenith,131.75,2.77
